Rang,Score,Classe,Titre,Entreprise,Pertinence,Statut,Date_candidature,Notes
1,85,A,Content Project Manager (F/H),Saatchi & Saatchi France,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste senior dans une agence de publicité prestigieuse
2,80,A,Responsable communication et marketing F/H,ESCP Business School,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste de direction dans l'enseignement supérieur
3,77,A,Responsable marketing,Adopte,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste de direction marketing
4,61,A,Chargé(e) de Webmarketing & Contenus Digitaux (H/F),The Sanctuary Group,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste spécialisé en contenus digitaux
5,59,A,Brand Designer,Brevo,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste de design de marque
6,55,A,CDD _ Brand Content Manager Editorial et Social F/H,Non spécifiée,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste en CDD spécialisé en contenus de marque
7,54,A,YouTube Channel Manager Strategist - Freelance pour un média (H/F),Média (non spécifié),TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste freelance en gestion de chaîne YouTube
8,51,A,CRM & LIFECYCLE MARKETING MANAGER,Non spécifiée,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste senior en marketing CRM
9,51,A,PR Growth Partner,Non spécifiée,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste en relations publiques et croissance
10,40,A,Chargé(e) de marketing omnicanal et data client (F/H),Non spécifiée,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste en marketing omnicanal et data
11,39,A,Senior Product Marketing Manager,Non spécifiée,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste senior en marketing produit
12,38,A,Analyste Acquisition & Growth (E-Commerce / DTC),Non spécifiée,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste en e-commerce et croissance
13,38,A,Consultant(e) Marketing Automation F/H,Non spécifiée,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste en marketing automation
14,36,A,Lead Professional Energy Marketing Paris/France,Non spécifiée,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste en marketing énergétique
15,36,A,E-learning Head of Growth,Non spécifiée,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste en e-learning et croissance
16,31,A,Sales & Marketing Specialist / Growth Strategist,Non spécifiée,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste en stratégie de croissance
17,27,A,Director of International Sales,Non spécifiée,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste de direction commerciale internationale
18,26,A,Marketing DIGITAL/ Plateforme de voyage,Non spécifiée,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste en marketing digital voyage
19,25,A,Product Manager -Advertising,Non spécifiée,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste en marketing produit publicitaire
20,23,A,Senior Marketing Manager,Non spécifiée,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste senior en marketing
21,22,A,Product Marketing Manager,Non spécifiée,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste en marketing produit
22,19,A,Rédactrice - Rédacteur MOA H/F,Non spécifiée,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste de rédaction
23,19,A,Freelance French Software Translator,Non spécifiée,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste freelance en traduction
24,19,A,HRBP Commercial & Marketing,Non spécifiée,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste en RH commercial et marketing
25,18,A,CSM / Relation clientèle - 100% télétravail,Non spécifiée,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste en relation client télétravail
26,18,A,SEO Content Editor,Non spécifiée,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste en SEO et contenus
27,17,A,UX/UI Designer (iGaming experience),Non spécifiée,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste en design UX/UI gaming
28,28,A,Chargée de Marketing Opérationnel Rabanne Americas - H/F,Rabanne,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste en marketing opérationnel mode
29,28,A,Head of Marketing (EMEA United Kingdom Ireland),Non spécifiée,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste de direction marketing EMEA
30,15,A,Chef de projet Marketing Généraliste F/H,Non spécifiée,TRÈS PERTINENT - POSTULER EN PRIORITÉ,À postuler,,Poste en gestion de projet marketing
31,13,B,Web Optimization & SEO Specialist,BruntWork,PERTINENT - POSTULER,À postuler,,Poste en optimisation web et SEO
32,12,B,Director of Marketing Intelligence & Research Integrity,Merchant Guild,PERTINENT - POSTULER,À postuler,,Poste en intelligence marketing
33,11,B,Growth Marketer,TaskHuman,PERTINENT - POSTULER,À postuler,,Poste en croissance marketing
34,11,B,Senior Product Manager - Declarations & Financial Statements Group,Pennylane,PERTINENT - POSTULER,À postuler,,Poste senior en gestion produit financier
35,9,B,Senior Product Manager H/F,PMU,PERTINENT - POSTULER,À postuler,,Poste senior en gestion produit
36,8,B,Product Marketing Manager,Non spécifiée,PERTINENT - POSTULER,À postuler,,Poste en marketing produit
37,6,C,Member Relationship Director,Accelerant,MODÉRÉMENT PERTINENT - ÉVALUER,À évaluer,,Poste en relation membre
38,6,C,Consultant senior,WOMUM,MODÉRÉMENT PERTINENT - ÉVALUER,À évaluer,,Poste de consultant senior
39,4,C,Senior Product Manager,Burns Sheehan,MODÉRÉMENT PERTINENT - ÉVALUER,À évaluer,,Poste senior en gestion produit
40,4,C,Commercial Terrain - Indépendant (Freelance),SumUp,MODÉRÉMENT PERTINENT - ÉVALUER,À évaluer,,Poste commercial freelance
41,4,C,Publishing Manager - France,Voodoo,MODÉRÉMENT PERTINENT - ÉVALUER,À évaluer,,Poste en gestion éditoriale
42,3,C,Product designer (part-time) - Freelance,Non spécifiée,MODÉRÉMENT PERTINENT - ÉVALUER,À évaluer,,Poste designer produit freelance
43,4,C,Expert Crédit Sénior et Mentor H/F - Team Full remote,Non spécifiée,MODÉRÉMENT PERTINENT - ÉVALUER,À évaluer,,Poste en crédit et mentorat
44,2,D,Casino Manager,Pentasia,PEU PERTINENT - IGNORER,Ignorer,,Poste en gestion casino
45,1,D,Product Manager Payments,Remote,PEU PERTINENT - IGNORER,Ignorer,,Poste en gestion produit paiements
46,-1,E,Entrepreneur spécialisé en solutions technologiques,Hetcore,NON PERTINENT - IGNORER TOTALEMENT,Ignorer,,Poste entrepreneurial tech
47,-1,E,Customer Success Manager,Tempo Software,NON PERTINENT - IGNORER TOTALEMENT,Ignorer,,Poste en succès client
48,-2,E,Product Owner H/F,LA FAMILLE - Finest Lunch,NON PERTINENT - IGNORER TOTALEMENT,Ignorer,,Poste de product owner
49,-6,E,Technical Product Manager,OrchidSphere Outsourcing,NON PERTINENT - IGNORER TOTALEMENT,Ignorer,,Poste technique en gestion produit
50,-9,E,AI Lead,Wave Talent,NON PERTINENT - IGNORER TOTALEMENT,Ignorer,,Poste en leadership IA
